"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Freudenberg",2012,25,"25_1","25_1_1","M","C57Bl6_mouse","M",10,20,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"%_fat",0,NA,10,49.60271647,6.192481,"25_1"
"Freudenberg",2012,25,"25_1","25_1_2","M","C57Bl6_mouse","M",10,20,"ad_lib",14.24,42.64,43.1,0.48,6.51,0.5,7.49,17.6,"%_fat",0,NA,10,40.88758319,14.12,"25_1"
"Freudenberg",2012,25,"25_1","25_1_3","M","C57Bl6_mouse","M",10,20,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"%_fat",0,NA,10,27.90322581,23.05181,"25_1"
"Freudenberg",2013,26,"26_1","26_1_1","M","C57Bl6_mouse","M",10,1,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"%_fat",0,NA,7,29.23344948,17.12,"26_1"
"Freudenberg",2013,26,"26_1","26_1_2","M","C57Bl6_mouse","M",10,1,"ad_lib",14.24,42.64,43.1,0.48,6.51,0.5,7.49,17.6,"%_fat",0,NA,7,28.15217391,20.69,"26_1"
"Freudenberg",2013,26,"26_1","26_1_3","M","C57Bl6_mouse","M",10,1,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"%_fat",0,NA,7,23.75494071,19.91,"26_1"
"Liu",2014,35,"35_1","35_1_1","M","C57Bl6_mouse","M",7,21,"ad_lib",20.8,67.58,11.62,0.98,1.77,1.3,4.05,16.4,"%_fat",0,NA,10,35.028,3.714,"35_1"
"Liu",2014,35,"35_1","35_1_2","M","C57Bl6_mouse","M",7,21,"ad_lib",24.9,64.1,11,0.98,6.67,1.3,8.95,17.2,"%_fat",0,NA,10,33.055,6.6,"35_1"
"Margolis ",2016,40,"40_1","40_1_1","R","Sprague_Dawley_rat","M",12,16,"ad_lib",10.1,72,17.9,0.537,1.02,0.61,2.167,18.9,"%_fat",0,NA,10,41.1,11.42,"40_1"
"Margolis ",2016,40,"40_1","40_1_2","R","Sprague_Dawley_rat","M",12,16,"ad_lib",33.8,44.96,21.21,1.99,3.62,2.26,7.87,19.3,"%_fat",0,NA,10,40.2,49.63,"40_1"
