"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Bruckbauer ",2012,15,"15_1","15_1_1","M","C57Bl6_mouse","M",12,6,"ad_lib",20.2,34.7,45,0.94,1.71,1.25,3.9,17.1,"HOMA",5,NA,7,2.41,2.008581589,"15_1"
"Bruckbauer ",2012,15,"15_1","15_1_2","M","C57Bl6_mouse","M",12,6,"ad_lib",21.7962,34.1,44.1,0.93,3.69,1.24,5.86,17.4,"HOMA",5,NA,7,1.14,0.906311205,"15_1"
"Exteberria ",2015,22,"22_1","22_1_1","R","Wistar_rat","M",NA,5.285714,"ad_lib",20,35,45,0.94,1.7,1.25,3.89,17.1,"HOMA",0,NA,10,8.965,2.826,"22_1"
"Exteberria ",2015,22,"22_1","22_1_2","R","Wistar_rat","M",NA,5.285714,"ad_lib",20.856,34.4,44.6,0.94,2.546,1.25,4.736,17.2,"HOMA",0,NA,10,6.552,3.192,"22_1"
"Liu",2017,36,"36_1","36_1_1","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.68,1.45,0.87,3,20,"HOMA",0,NA,10,29.709,9.093,"36_1"
"Liu",2017,36,"36_1","36_1_2","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.94,2.72,1.03,4.69,20,"HOMA",0,NA,10,20.038,8.446,"36_1"
"Torres Leal",2011,55,"55_1","55_1_1","R","Sprague_Dawley_rat","M",32,6,"ad_lib",14.74,75.85,9.41,0.7,1.26,0.92,2.88,16.15,"HOMA",0,NA,7,0.29,0.122474487,"55_1"
"Torres Leal",2011,55,"55_1","55_1_2","R","Sprague_Dawley_rat","M",32,6,"ad_lib",19.96,70.59,9.4,0.7,6.52,0.92,8.14,16.15,"HOMA",0,NA,8,0.32,0.158745079,"55_1"
"Vianna",2012,56,"56_1","56_1_1","R","Sprague_Dawley_rat","M",24,40,"ad_lib",17.97,72.63,9.4,0.69,1.26,0.92,2.87,16.1,"HOMA",5,NA,17,0.108,0.036,"56_1"
"Vianna",2012,56,"56_1","56_1_2","R","Sprague_Dawley_rat","M",24,40,"ad_lib",17.96,72.63,9.4,0.69,4.34,0.92,5.95,16.1,"HOMA",5,NA,14,0.105,0.039661064,"56_1"
"Li",2013,60,"60_1","60_1_1","M","C57Bl6_mouse","M",NA,24,"ad_lib",21.8,69.9,8.4,1.03,1.6,1.36,3.99,16,"HOMA",0,NA,7,3.692,1.967,"60_1"
"Li",2013,60,"60_1","60_1_2","M","C57Bl6_mouse","M",NA,24,"ad_lib",15.03,31.38,53.59,0.71,1.29,0.94,2.94,22.1,"HOMA",0,NA,7,6.251,2.34,"60_1"
"Li",2013,60,"60_1","60_1_3","M","C57Bl6_mouse","M",NA,24,"ad_lib",23,68.8,8.2,1.03,3.16,1.36,5.55,16.3,"HOMA",0,NA,7,3.237,2.902,"60_1"
"Li",2013,60,"60_1","60_1_4","M","C57Bl6_mouse","M",NA,24,"ad_lib",16,31,52.98,0.71,2.43,0.94,4.08,22.3,"HOMA",0,NA,7,3.835,1.441,"60_1"
"Li",2013,60,"60_1","60_1_5","M","C57Bl6_mouse","M",NA,24,"ad_lib",24.18,67.78,8.05,1.03,4.69,1.36,7.08,16.5,"HOMA",0,NA,7,3.072,1.843,"60_1"
"Li",2013,60,"60_1","60_1_6","M","C57Bl6_mouse","M",NA,24,"ad_lib",16.95,30.67,52.38,0.71,3.55,0.94,5.2,22.6,"HOMA",0,NA,7,3.183,1.675,"60_1"
"Li",2013,60,"60_1","60_1_7","M","C57Bl6_mouse","M",NA,24,"ad_lib",17.88,30.32,51.79,0.71,4.64,0.94,6.29,22.8,"HOMA",0,NA,7,3.007,0.528,"60_1"
"Li",2013,60,"60_1","60_1_8","M","C57Bl6_mouse","M",NA,24,"ad_lib",25.33,66.75,7.92,1.03,6.16,1.36,8.55,16.8,"HOMA",0,NA,7,3.609,2.019,"60_1"
"Bong",2010,78,"78_1","78_1_1","R","Sprague_Dawley_rat","M",21,8,"ad_lib",20,63,17,0.94,1.71,1.25,3.9,15.6,"HOMA",0,NA,8,11.36,9.815737364,"78_1"
"Bong",2010,78,"78_1","78_1_2","R","Sprague_Dawley_rat","M",21,8,"ad_lib",20,20,60,0.94,1.71,1.25,3.9,21.3,"HOMA",0,NA,8,10.01,6.270430607,"78_1"
"Bong",2010,78,"78_1","78_1_3","R","Sprague_Dawley_rat","M",21,8,"ad_lib",63,20,17,0.67,4.97,0.89,6.53,15.7,"HOMA",0,NA,8,4.38,2.222431101,"78_1"
"Bong",2010,78,"78_1","78_1_4","R","Sprague_Dawley_rat","M",21,8,"ad_lib",63,20,17,1.51,4.81,1.93,8.25,15.7,"HOMA",0,NA,8,7.17,3.809881888,"78_1"
"Bong",2010,78,"78_1","78_1_5","R","Sprague_Dawley_rat","M",21,8,"ad_lib",20,20,60,0.67,4.69,0.89,6.25,21.4,"HOMA",0,NA,8,10.62,4.259659611,"78_1"
"Bong",2010,78,"78_1","78_1_6","R","Sprague_Dawley_rat","M",21,8,"ad_lib",20,20,60,1.5,4.64,1.93,8.07,21.1,"HOMA",0,NA,8,9.38,5.556077753,"78_1"
"Noguchi ",2010,84,"84_1","84_1_1","M","C57Bl6_mouse","M",10,8,"ad_lib",17.82,29.46,52.72,0.82,1.47,1.07,3.36,21.5,"HOMA",3,NA,9,69.426,20.65034644,"84_1"
"Noguchi ",2010,84,"84_1","84_1_2","M","C57Bl6_mouse","M",10,8,"ad_lib",18.26,29.09,52.72,1.35,2.58,1.53,5.46,21.5,"HOMA",3,NA,9,35.176,32.81823993,"84_1"
"Solon-Biet",2014,93,"93_1","93_1_1","M","C57Bl6_mouse","B",60,57,"ad_lib",5,75,20,0.263,0.3965,0.3045,0.964,13,"HOMA",4,NA,8,0.6875,0.242884452,"93_1"
"Solon-Biet",2014,93,"93_1","93_1_2","M","C57Bl6_mouse","B",60,57,"ad_lib",5,48,48,0.263,0.3965,0.3045,0.964,17,"HOMA",4,NA,7,0.737142857,0.307772334,"93_1"
