"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Amaral ",2010,1,"1_1","1_1_1","M","Swiss_mouse",NA,3,17.142857,"pair_fed",6,78,16,0.28,0.51,0.38,1.17,16.21,"circ_leu",12,NA,5,142.1,18,"1_1"
"Amaral ",2010,1,"1_1","1_1_2","M","Swiss_mouse",NA,3,17.142857,"pair_fed",18,66,16,0.85,1.54,1.13,3.52,16.61,"circ_leu",12,NA,5,172.1,13.4,"1_1"
"Anderson ",1985,3,"3_1","3_1_1","M","B6C3F1_mouse","M",7.5,2,"ad_lib",9.46,78.8,11.74,0.43,0.72,0.44,1.59,16.18,"circ_leu",9,NA,11,134.1,NA,"3_1"
"Anderson ",1985,3,"3_1","3_1_2","M","B6C3F1_mouse","M",7.5,2,"ad_lib",39.06,48.82,12.13,1.72,2.88,1.76,6.36,15.67,"circ_leu",9,NA,11,152.7,NA,"3_1"
"Anderson ",1985,3,"3_3","3_3_1","M","B6C3F1_mouse","F",7.5,2,"ad_lib",9.46,78.8,11.74,0.43,0.72,0.44,1.59,16.18,"circ_leu",9,NA,11,76,NA,"3_3"
"Anderson ",1985,3,"3_3","3_3_2","M","B6C3F1_mouse","F",7.5,2,"ad_lib",39.06,48.82,12.13,1.72,2.88,1.76,6.36,15.67,"circ_leu",9,NA,11,94.4,NA,"3_3"
"Anderson ",1985,3,"3_4","3_4_1","M","B6C3F1_mouse","F",7.5,2,"ad_lib",9.46,78.8,11.74,0.43,0.72,0.44,1.59,16.18,"circ_leu",9,NA,11,93.4,NA,"3_4"
"Anderson ",1985,3,"3_4","3_4_2","M","B6C3F1_mouse","F",7.5,2,"ad_lib",39.06,48.82,12.13,1.72,2.88,1.76,6.36,15.67,"circ_leu",9,NA,11,133.5,NA,"3_4"
"Anderson ",1990,4,"4_1","4_1_1","R","Holtzman_rat","M",NA,1,"ad_lib",14.9,73.9,11.1,0.71,1.28,0.94,2.93,17.1,"circ_leu",0,NA,6,186,46.95743,"4_1"
"Anderson ",1990,4,"4_1","4_1_2","R","Holtzman_rat","M",NA,1,"ad_lib",22.49,66.38,11.12,2.7,4.46,3.33,10.49,17.1,"circ_leu",0,NA,6,462,73.79024,"4_1"
"Ascencio ",1997,5,"5_1","5_1_1","R","Wistar_rat","M",NA,0.857143,"pair_fed",6.6,82.25,11.15,0.31,0.56,0.41,1.28,17.03,"circ_leu",0,NA,10,296.23,NA,"5_1"
"Ascencio ",1997,5,"5_1","5_1_2","R","Wistar_rat","M",NA,0.857143,"pair_fed",20,68.9,11.2,0.94,1.71,1.25,3.9,17.03,"circ_leu",0,NA,10,262.74,NA,"5_1"
"Batistela ",2014,8,"8_1","8_1_1","R","Wistar_rat","M",4.285714286,2.142857,"ad_lib",6.24,77.7,16,0.29,0.53,0.38,1.2,16.6,"circ_leu",0,NA,7,52.24,7.032485052,"8_1"
"Batistela ",2014,8,"8_1","8_1_2","R","Wistar_rat","M",4.285714286,2.142857,"ad_lib",18,65.6,16.3,0.84,1.52,1.11,3.47,16.3,"circ_leu",0,NA,7,77.86,7.397459023,"8_1"
"Baum",2016,9,"9_1","9_1_1","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,22.82,0.95,1.73,1.26,3.94,16.8,"circ_leu",12,NA,10,126,24,"9_1"
"Baum",2016,9,"9_1","9_1_2","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,1.77,1.3,4.05,21.7,"circ_leu",12,NA,10,81,18,"9_1"
"Baum",2016,9,"9_1","9_1_3","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,22.82,0.95,4.965,1.26,7.175,16.8,"circ_leu",12,NA,10,158,30,"9_1"
"Baum",2016,9,"9_1","9_1_4","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,4.27,1.3,6.55,21.7,"circ_leu",12,NA,10,83,18,"9_1"
"Caraballo ",2014,16,"16_1","16_1_1","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,81,8,0.52,0.94,0.69,2.15,15.9,"circ_leu",0,NA,8,64.984,20.72152427,"16_1"
