"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Exteberria ",2015,22,"22_1","22_1_1","R","Wistar_rat","M",NA,5.285714,"ad_lib",20,35,45,0.94,1.7,1.25,3.89,17.1,"glu_AUC",0,NA,10,36932.672,4543.617,"22_1"
"Exteberria ",2015,22,"22_1","22_1_2","R","Wistar_rat","M",NA,5.285714,"ad_lib",20.856,34.4,44.6,0.94,2.546,1.25,4.736,17.2,"glu_AUC",0,NA,10,34333.902,3950.508,"22_1"
"Fu ",2015,27,"27_1","27_1_1","M","C57Bl6_mouse","M",7,6,"ad_lib",20.2,19.7,60.1,0.94,1.71,1.25,3.9,17.1,"glu_AUC",0,NA,10,29163,4596,"27_1"
"Fu ",2015,27,"27_1","27_1_2","M","C57Bl6_mouse","M",7,6,"ad_lib",21.66,19.33,59,0.93,3.51,1.24,5.68,17.4,"glu_AUC",0,NA,10,27329,4986,"27_1"
"Liu",2017,36,"36_1","36_1_1","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.68,1.45,0.87,3,20,"glu_AUC",0,NA,10,41.265,8.73,"36_1"
"Liu",2017,36,"36_1","36_1_2","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.94,2.72,1.03,4.69,20,"glu_AUC",0,NA,10,37.018,3.214,"36_1"
"Mu",2018,43,"43_1","43_1_1","M","C57Bl6_mouse","M",16,36,"ad_lib",6.7,83.6,9.7,0.33,0.6,0.44,1.37,15.6,"glu_AUC",12,NA,10,2.026,0.276,"43_1"
"Mu",2018,43,"43_1","43_1_2","M","C57Bl6_mouse","M",16,36,"ad_lib",13,77.4,9.6,0.61,1.11,0.81,2.53,15.8,"glu_AUC",12,NA,10,2.002,0.342,"43_1"
"Mu",2018,43,"43_1","43_1_3","M","C57Bl6_mouse","M",16,36,"ad_lib",9.7,80.6,9.7,1.4,2.1,1.5,5,15.6,"glu_AUC",12,NA,10,2.228,0.504,"43_1"
"Mu",2018,43,"43_1","43_1_4","M","C57Bl6_mouse","M",16,36,"ad_lib",16,74.4,9.6,1.6,2.6,1.9,6.1,15.8,"glu_AUC",12,NA,10,2.248,0.225,"43_1"
"Fu",2015,58,"58_1","58_1_1","M","C57Bl6_mouse","M",13,6,"ad_lib",20.2,19.7,60.1,0.94,1.71,1.25,3.9,17.1,"glu_AUC",0,NA,10,30564.36,2955.12,"58_1"
"Fu",2015,58,"58_1","58_1_2","M","C57Bl6_mouse","M",13,6,"ad_lib",21.66,19.33,59,0.93,3.51,1.24,5.68,17.4,"glu_AUC",0,NA,10,31702.95,4482.15,"58_1"
"Fontana",2016,82,"82_1","82_1_1","M","C57Bl6_mouse","M",9,6,"ad_lib",7.1,74.4,18.5,0.23,0.74,0.24,1.21,16.31,"glu_AUC",12,NA,8,16348.1,2590.984259,"82_1"
"Fontana",2016,82,"82_1","82_1_2","M","C57Bl6_mouse","M",9,6,"ad_lib",22,59.4,18.6,0.7,2.29,0.76,3.75,16.31,"glu_AUC",12,NA,8,19950.1,1684.819726,"82_1"
"Fontana",2016,82,"82_2","82_2_1","M","C57Bl6_mouse","M",9,10,"ad_lib",5.1,75.4,8.1,0.16,0.53,0.17,0.86,16.31,"glu_AUC",12,NA,9,14090.3,1784.737516,"82_2"
"Fontana",2016,82,"82_2","82_2_2","M","C57Bl6_mouse","M",9,10,"ad_lib",7.1,74.4,18.5,0.23,0.74,0.24,1.21,16.31,"glu_AUC",14,NA,9,16840.2,2479.68206,"82_2"
"Fontana",2016,82,"82_2","82_2_3","M","C57Bl6_mouse","M",9,10,"ad_lib",22,59.4,18.6,0.7,2.29,0.76,3.75,16.31,"glu_AUC",13,NA,9,20351.68,2780.683275,"82_2"
