"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Freudenberg",2012,25,"25_1","25_1_1","M","C57Bl6_mouse","M",10,14,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"ins_AUC",16,NA,10,18440,6760.71,"25_1"
"Freudenberg",2012,25,"25_1","25_1_2","M","C57Bl6_mouse","M",10,14,"ad_lib",14.24,42.64,43.1,0.48,6.51,0.5,7.49,17.6,"ins_AUC",16,NA,10,11348.7,4809.9,"25_1"
"Freudenberg",2012,25,"25_1","25_1_3","M","C57Bl6_mouse","M",10,14,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"ins_AUC",16,NA,10,7697.5,2840.1,"25_1"
"Liu",2017,36,"36_1","36_1_1","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.68,1.45,0.87,3,20,"ins_AUC",0,NA,10,28.965,5.694,"36_1"
"Liu",2017,36,"36_1","36_1_2","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.94,2.72,1.03,4.69,20,"ins_AUC",0,NA,10,28.549,4.713,"36_1"
"Mu",2018,43,"43_1","43_1_1","M","C57Bl6_mouse","M",16,36,"ad_lib",6.7,83.6,9.7,0.33,0.6,0.44,1.37,15.6,"ins_AUC",4,NA,10,1.207,0.273,"43_1"
"Mu",2018,43,"43_1","43_1_2","M","C57Bl6_mouse","M",16,36,"ad_lib",13,77.4,9.6,0.61,1.11,0.81,2.53,15.8,"ins_AUC",4,NA,10,1.731,0.342,"43_1"
"Mu",2018,43,"43_1","43_1_3","M","C57Bl6_mouse","M",16,36,"ad_lib",9.7,80.6,9.7,1.4,2.1,1.5,5,15.6,"ins_AUC",4,NA,10,1.827,0.399,"43_1"
"Mu",2018,43,"43_1","43_1_4","M","C57Bl6_mouse","M",16,36,"ad_lib",16,74.4,9.6,1.6,2.6,1.9,6.1,15.8,"ins_AUC",4,NA,10,1.604,0.3,"43_1"
"Li",2013,60,"60_1","60_1_1","M","C57Bl6_mouse","M",NA,24,"ad_lib",21.8,69.9,8.4,1.03,1.6,1.36,3.99,16,"ins_AUC",0,NA,7,18.034,2.653,"60_1"
"Li",2013,60,"60_1","60_1_2","M","C57Bl6_mouse","M",NA,24,"ad_lib",15.03,31.38,53.59,0.71,1.29,0.94,2.94,22.1,"ins_AUC",0,NA,7,22.229,2.607,"60_1"
"Li",2013,60,"60_1","60_1_3","M","C57Bl6_mouse","M",NA,24,"ad_lib",23,68.8,8.2,1.03,3.16,1.36,5.55,16.3,"ins_AUC",0,NA,7,17.539,1.269,"60_1"
"Li",2013,60,"60_1","60_1_4","M","C57Bl6_mouse","M",NA,24,"ad_lib",16,31,52.98,0.71,2.43,0.94,4.08,22.3,"ins_AUC",0,NA,7,18.546,1.418,"60_1"
"Li",2013,60,"60_1","60_1_5","M","C57Bl6_mouse","M",NA,24,"ad_lib",24.18,67.78,8.05,1.03,4.69,1.36,7.08,16.5,"ins_AUC",0,NA,7,17.895,1.181,"60_1"
"Li",2013,60,"60_1","60_1_6","M","C57Bl6_mouse","M",NA,24,"ad_lib",16.95,30.67,52.38,0.71,3.55,0.94,5.2,22.6,"ins_AUC",0,NA,7,19.402,1.522,"60_1"
"Li",2013,60,"60_1","60_1_7","M","C57Bl6_mouse","M",NA,24,"ad_lib",17.88,30.32,51.79,0.71,4.64,0.94,6.29,22.8,"ins_AUC",0,NA,7,18.802,2.739,"60_1"
"Li",2013,60,"60_1","60_1_8","M","C57Bl6_mouse","M",NA,24,"ad_lib",25.33,66.75,7.92,1.03,6.16,1.36,8.55,16.8,"ins_AUC",0,NA,7,18.555,3.021,"60_1"
"Fontana",2016,82,"82_1","82_1_1","M","C57Bl6_mouse","M",9,8,"ad_lib",7.1,74.4,18.5,0.23,0.74,0.24,1.21,16.31,"ins_AUC",12,NA,8,5308.4,750.3086143,"82_1"
"Fontana",2016,82,"82_1","82_1_2","M","C57Bl6_mouse","M",9,8,"ad_lib",22,59.4,18.6,0.7,2.29,0.76,3.75,16.31,"ins_AUC",12,NA,8,4700.1,1163.072276,"82_1"
"Fontana",2016,82,"82_5","82_5_1","M","C57Bl6_mouse","M",9,4,"ad_lib",7.1,74.4,18.5,0.23,0.74,0.24,1.21,16.31,"ins_AUC",12,NA,10,4150.4,1048.5,"82_5"
"Fontana",2016,82,"82_5","82_5_2","M","C57Bl6_mouse","M",9,4,"ad_lib",22,59.4,18.6,0.7,2.29,0.76,3.75,16.31,"ins_AUC",12,NA,10,4604.8,1043.1,"82_5"
"Noguchi ",2010,84,"84_1","84_1_1","M","C57Bl6_mouse","M",10,8,"ad_lib",17.82,29.46,52.72,0.82,1.47,1.07,3.36,21.5,"ins_AUC",12,NA,6,3.281,0.18782971,"84_1"
"Noguchi ",2010,84,"84_1","84_1_2","M","C57Bl6_mouse","M",10,8,"ad_lib",18.26,29.09,52.72,1.35,2.58,1.53,5.46,21.5,"ins_AUC",12,NA,6,2.828,0.820636948,"84_1"
"Solon-Biet",2019,94,"94_1","94_1_1","M","C57Bl6_mouse","B",780,777,"ad_lib",18,64,18,0.1728,0.3132,0.2268,0.7128,14.3,"ins_AUC",4,NA,9,111.3333333,154.2449351,"94_1"
"Solon-Biet",2019,94,"94_1","94_1_2","M","C57Bl6_mouse","B",780,777,"ad_lib",18,64,18,0.432,0.783,0.567,1.782,14.3,"ins_AUC",4,NA,15,188.4,129.0032115,"94_1"
"Solon-Biet",2019,94,"94_1","94_1_3","M","C57Bl6_mouse","B",780,777,"ad_lib",18,64,18,0.864,1.566,1.134,3.564,14.3,"ins_AUC",4,NA,19,266.0526316,212.3920572,"94_1"
"Solon-Biet",2019,94,"94_1","94_1_4","M","C57Bl6_mouse","B",780,777,"ad_lib",18,64,18,1.728,3.132,2.268,7.128,14.3,"ins_AUC",4,NA,14,187.2142857,110.4216942,"94_1"
"Morens",2005,96,"96_1","96_1_1","R","Wistar_rat","M",NA,1.428571,"ad_lib",20.4,19.4,60.2,1.07304,1.61772,1.24236,3.93312,16.8,"ins_AUC",9,NA,6,782,199.01005,"96_1"
"Morens",2005,96,"96_1","96_1_2","R","Wistar_rat","M",NA,1.428571,"ad_lib",23,63,14,1.2098,1.8239,1.4007,4.4344,16.8,"ins_AUC",9,NA,6,836,288.4527691,"96_1"
"Morens",2005,96,"96_1","96_1_3","R","Wistar_rat","M",NA,1.428571,"ad_lib",34.7,5.1,60.2,1.82522,2.75171,2.11323,6.69016,16.8,"ins_AUC",9,NA,6,1024,355.5348084,"96_1"
"Cummings",2018,99,"99_1","99_1_1","M","C57Bl6_mouse","M",18,4,"ad_lib",15.2,42.7,42.1,0.787,1.187,0.911,2.885,18.828,"ins_AUC",16,NA,10,7447,918,"99_1"
"Cummings",2018,99,"99_1","99_1_2","M","C57Bl6_mouse","M",18,4,"ad_lib",18.3,39.8,41.9,1.51,2.455,1.784,5.749,19.246,"ins_AUC",16,NA,10,7842,1449,"99_1"
"Cummings",2018,99,"99_2","99_2_1","M","C57Bl6_mouse","M",18,4,"ad_lib",20.2,39,40.9,0.215220107,0.700736332,0.23174291,1.147699349,19.246,"ins_AUC",16,NA,12,6784,1048.053434,"99_2"
"Cummings",2018,99,"99_2","99_2_2","M","C57Bl6_mouse","M",18,4,"ad_lib",21.4,37.8,40.8,1.319601843,4.297164975,1.421109677,7.037876495,19.246,"ins_AUC",16,NA,12,7883,709.7577051,"99_2"
