"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Anderson",1968,2,"2_1","2_1_2","R","Holtzman_rat","M",NA,2,"ad_lib",24.9,64,11.1,1.18,2.14,1.57,4.89,17.1,"intake",0,NA,4,15.7085,1.27267,"2_1"
"Anderson",1968,2,"2_1","2_1_3","R","Holtzman_rat","M",NA,2,"ad_lib",49.7,39.1,11.1,2.36,4.28,3.13,9.77,17.1,"intake",0,NA,4,14.14016667,0.9042045,"2_1"
"Anderson",1968,2,"2_1","2_1_4","R","Holtzman_rat","M",NA,2,"ad_lib",74.6,14.2,11.1,3.54,6.42,4.7,14.66,17.1,"intake",0,NA,4,12.23133333,1.46411,"2_1"
"Anderson ",1985,3,"3_1","3_1_1","M","B6C3F1_mouse","M",7.5,2,"ad_lib",9.46,78.8,11.74,0.43,0.72,0.44,1.59,16.18,"intake",0,NA,11,3.657142857,NA,"3_1"
"Anderson ",1985,3,"3_1","3_1_2","M","B6C3F1_mouse","M",7.5,2,"ad_lib",39.06,48.82,12.13,1.72,2.88,1.76,6.36,15.67,"intake",0,NA,11,3.957142857,NA,"3_1"
"Anderson ",1985,3,"3_2","3_2_1","M","B6C3F1_mouse","F",7.5,2,"ad_lib",9.46,78.8,11.74,0.43,0.72,0.44,1.59,16.18,"intake",0,NA,11,3.785714286,NA,"3_2"
"Anderson ",1985,3,"3_2","3_2_2","M","B6C3F1_mouse","F",7.5,2,"ad_lib",39.06,48.82,12.13,1.72,2.88,1.76,6.36,15.67,"intake",0,NA,11,3.642857143,NA,"3_2"
"Anderson ",1985,3,"3_3","3_3_1","M","B6C3F1_mouse","M",7.5,2,"ad_lib",9.46,78.8,11.74,0.43,0.72,0.44,1.59,16.18,"intake",0,NA,11,3.271428571,NA,"3_3"
"Anderson ",1985,3,"3_3","3_3_2","M","B6C3F1_mouse","M",7.5,2,"ad_lib",39.06,48.82,12.13,1.72,2.88,1.76,6.36,15.67,"intake",0,NA,11,3.242857143,NA,"3_3"
"Anderson ",1985,3,"3_4","3_4_1","M","B6C3F1_mouse","F",7.5,2,"ad_lib",9.46,78.8,11.74,0.43,0.72,0.44,1.59,16.18,"intake",0,NA,11,3.228571429,NA,"3_4"
"Anderson ",1985,3,"3_4","3_4_2","M","B6C3F1_mouse","F",7.5,2,"ad_lib",39.06,48.82,12.13,1.72,2.88,1.76,6.36,15.67,"intake",0,NA,11,2.971428571,NA,"3_4"
"Anderson ",1990,4,"4_1","4_1_1","R","Holtzman_rat","M",NA,1,"ad_lib",14.9,73.9,11.1,0.71,1.28,0.94,2.93,17.1,"intake",0,NA,6,16.33,2.43,"4_1"
"Anderson ",1990,4,"4_1","4_1_2","R","Holtzman_rat","M",NA,1,"ad_lib",22.49,66.38,11.12,2.7,4.46,3.33,10.49,17.1,"intake",0,NA,6,11.27,3.375,"4_1"
"Ascencio ",1997,5,"5_1","5_1_1","R","Wistar_rat","M",NA,0.857143,"pair_fed",6.6,82.25,11.15,0.31,0.56,0.41,1.28,17.03,"intake",0,NA,10,12.32486,2.821319,"5_1"
"Ascencio ",1997,5,"5_1","5_1_2","R","Wistar_rat","M",NA,0.857143,"pair_fed",20,68.9,11.2,0.94,1.71,1.25,3.9,17.03,"intake",0,NA,10,10.33271,3.565035,"5_1"
"Bajotto ",2011,6,"6_1","6_1_1","R","Sprague_Dawley_rat","M",5,1.428571,"ad_lib",18.31,65.77,15.92,0.86,1.57,1.15,3.58,16.3,"intake",0,NA,6,17.38,NA,"6_1"
"Bajotto ",2011,6,"6_1","6_1_2","R","Sprague_Dawley_rat","M",5,1.428571,"ad_lib",22.36,62.51,15.13,3.85,2,2.51,8.36,17.1,"intake",0,NA,6,17.38,NA,"6_1"
"Bassil ",2007,7,"7_1","7_1_1","R","Sprague_Dawley_rat","M",NA,2,"ad_lib",21.17,56.47,22.35,0.99,1.79,1.31,4.09,17,"intake",0,NA,8,18.8,2.222431,"7_1"
"Bassil ",2007,7,"7_1","7_1_2","R","Sprague_Dawley_rat","M",NA,2,"ad_lib",25.14,53.63,21.22,0.94,6.72,1.25,8.91,17.9,"intake",0,NA,8,21.13,1.904941,"7_1"
"Batistela ",2014,8,"8_1","8_1_1","R","Wistar_rat","M",4.285714286,2.142857,"ad_lib",6.24,77.7,16,0.29,0.53,0.38,1.2,16.6,"intake",0,NA,7,22.59,12.62,"8_1"
"Batistela ",2014,8,"8_1","8_1_2","R","Wistar_rat","M",4.285714286,2.142857,"ad_lib",18,65.6,16.3,0.84,1.52,1.11,3.47,16.3,"intake",0,NA,7,23.19,11.87,"8_1"
"Baum",2016,9,"9_1","9_1_1","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,16.82,0.95,1.73,1.26,3.94,16.8,"intake",0,NA,30,24.5,5.385165,"9_1"
"Baum",2016,9,"9_1","9_1_2","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,1.77,1.3,4.05,21.7,"intake",0,NA,30,16.7,1.615549442,"9_1"
"Baum",2016,9,"9_1","9_1_3","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,16.82,0.95,4.965,1.26,7.175,16.8,"intake",0,NA,30,22.6,2.154066,"9_1"
"Baum",2016,9,"9_1","9_1_4","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,4.27,1.3,6.55,21.7,"intake",0,NA,30,16.9,2.154065923,"9_1"
"Bhargava ",1987,10,"10_1","10_1_2","R","Sprague_Dawley_rat","M",NA,4,"ad_lib",23.98,64.78,11.23,1.13,2.05,1.5,4.68,16,"intake",0,NA,35,6.9855,NA,"10_1"
"Bhargava ",1987,10,"10_1","10_1_3","R","Sprague_Dawley_rat","M",NA,4,"ad_lib",23.98,64.78,11.23,1.13,2.05,1.5,4.68,16,"intake",0,NA,35,6.9855,NA,"10_1"
"Bhargava ",1987,10,"10_1","10_1_4","R","Sprague_Dawley_rat","M",NA,4,"ad_lib",57.72,32.244,10.033,2.72,4.94,3.61,11.27,16.2,"intake",0,NA,35,7.17425,NA,"10_1"
"Adechain ",2009,11,"11_1","11_1_1","R","Wistar_rat","M",NA,5,"ad_lib",15.18,41.46,43.35,0.78,1.46,0.945,3.185,20.1,"intake",0,NA,9,28.27029198,6.337113625,"11_1"
"Adechain ",2009,11,"11_1","11_1_2","R","Wistar_rat","M",NA,5,"ad_lib",18.93,71.68,9.39,0.97,1.82,1.18,3.97,16.2,"intake",0,NA,10,17.66255136,7.223084743,"11_1"
"Bruckbauer ",2012,15,"15_1","15_1_1","M","C57Bl6_mouse","M",12,6,"ad_lib",20.2,34.7,45,0.94,1.71,1.25,3.9,17.1,"intake",0,NA,7,4.065,0.644215802,"15_1"
"Bruckbauer ",2012,15,"15_1","15_1_2","M","C57Bl6_mouse","M",12,6,"ad_lib",21.7962,34.1,44.1,0.93,3.69,1.24,5.86,17.4,"intake",0,NA,7,3.504,0.685857128,"15_1"
"Caraballo ",2014,16,"16_1","16_1_1","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,81,8,0.52,0.94,0.69,2.15,15.9,"intake",0,NA,12,3.11,0.169,"16_1"
"Caraballo ",2014,16,"16_1","16_1_2","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,48,42,0.52,0.94,0.69,2.15,19.3,"intake",0,NA,12,3.102,0.618,"16_1"
"Caraballo ",2014,16,"16_1","16_1_3","M","C57Bl6_mouse","F",NA,3,"ad_lib",35,57,8,1.65,3,2.19,6.84,15.9,"intake",0,NA,12,2.80104712,0.33939,"16_1"
"Caraballo ",2014,16,"16_1","16_1_4","M","C57Bl6_mouse","F",NA,3,"ad_lib",35,24,42,1.65,3,2.19,6.84,19.3,"intake",0,NA,12,2.49,0.154,"16_1"
"Chee ",1981,17,"17_1","17_1_1","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",8.8,68.3,22.9,0.42,0.75,0.55,1.72,16.36,"intake",0,NA,10,3.54,NA,"17_1"
"Chee ",1981,17,"17_1","17_1_2","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",8.8,4.7,86.5,0.42,0.75,0.55,1.72,16.36,"intake",0,NA,10,2.33,NA,"17_1"
"Chee ",1981,17,"17_1","17_1_3","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",53,24,22.9,2.5,4.54,3.32,10.36,16.36,"intake",0,NA,10,2.79,NA,"17_1"
"Chee ",1981,17,"17_1","17_1_4","M","C57Bl6_mouse","F",4,5.142857,"ad_lib",53,13.1,33.9,2.5,4.54,3.32,10.36,16.36,"intake",0,NA,10,2.65,NA,"17_1"
"Chevalier ",1977,18,"18_1","18_1_1","R","Charles_River_rat","M",4.285714286,3,"ad_lib",17,61.8,21.1,0.8,1.46,1.06,3.32,17.97,"intake",0,NA,8,25.7,1.587450787,"18_1"
"Chevalier ",1977,18,"18_1","18_1_2","R","Charles_River_rat","M",4.285714286,3,"ad_lib",22.17,58,19.82,0.75,1.37,1,3.12,19.16,"intake",0,NA,9,26,2.545584412,"18_1"
"Colombo ",1992,19,"19_1","19_1_1","R","Wistar_rat","M",NA,2.142857,"ad_lib",9,78,13,0.44,0.9,0.21,1.55,14.9,"intake",0,NA,7,28.2,1.1,"19_1"
"Colombo ",1992,19,"19_1","19_1_2","R","Wistar_rat","M",NA,2.142857,"ad_lib",20,67,13,1,2.04,0.46,3.5,14.9,"intake",0,NA,7,23.9,1.2,"19_1"
"Colombo ",1992,19,"19_1","19_1_3","R","Wistar_rat","M",NA,2.142857,"ad_lib",37,50,13,1.85,3.77,0.83,6.45,14.9,"intake",0,NA,7,23.7,0.8,"19_1"
"Colombo ",1992,19,"19_1","19_1_4","R","Wistar_rat","M",NA,2.142857,"ad_lib",58,29,13,2.91,5.9,1.3,10.11,14.9,"intake",0,NA,7,22.1,2.5,"19_1"
"French",2017,24,"24_1","24_1_1","R","Zucker_Lean_rat","M",12,12,"ad_lib",21.6,65.4,13,1.01,1.82,1.33,4.16,15.9,"intake",0,NA,8,21.347,0.997448244,"24_1"
"French",2017,24,"24_1","24_1_2","R","Zucker_Lean_rat","M",12,12,"ad_lib",42.6,44.3,13.1,2.01,3.65,2.67,8.33,15.9,"intake",0,NA,10,20.51,0.54,"24_1"
"Freudenberg",2012,25,"25_1","25_1_1","M","C57Bl6_mouse","M",10,20,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"intake",0,NA,10,3.61,0.12,"25_1"
"Freudenberg",2012,25,"25_1","25_1_2","M","C57Bl6_mouse","M",10,20,"ad_lib",14.24,42.64,43.1,0.48,6.51,0.5,7.49,17.6,"intake",0,NA,10,3.37,0.3,"25_1"
