"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Amaral ",2010,1,"1_1","1_1_1","M","Swiss_mouse",NA,3,17.142857,"pair_fed",6,78,16,0.28,0.51,0.38,1.17,16.21,"plas_glu",12,NA,10,99,12,"1_1"
"Amaral ",2010,1,"1_1","1_1_2","M","Swiss_mouse",NA,3,17.142857,"pair_fed",18,66,16,0.85,1.54,1.13,3.52,16.61,"plas_glu",12,NA,10,84.9,16.8,"1_1"
"Bajotto ",2011,6,"6_1","6_1_1","R","Sprague_Dawley_rat","M",5,1.428571,"ad_lib",18.31,65.77,15.92,0.86,1.57,1.15,3.58,16.3,"plas_glu",3,NA,6,9,0.6708204,"6_1"
"Bajotto ",2011,6,"6_1","6_1_2","R","Sprague_Dawley_rat","M",5,1.428571,"ad_lib",22.36,62.51,15.13,3.85,2,2.51,8.36,17.1,"plas_glu",3,NA,6,8.7,0.4472136,"6_1"
"Bassil ",2007,7,"7_1","7_1_1","R","Sprague_Dawley_rat","M",NA,2,"ad_lib",21.17,56.47,22.35,0.99,1.79,1.31,4.09,17,"plas_glu",12,NA,8,11.15,2.116601,"7_1"
"Bassil ",2007,7,"7_1","7_1_2","R","Sprague_Dawley_rat","M",NA,2,"ad_lib",25.14,53.63,21.22,0.94,6.72,1.25,8.91,17.9,"plas_glu",12,NA,8,10.1,1.772653,"7_1"
"Baum",2016,9,"9_1","9_1_1","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,17.82,0.95,1.73,1.26,3.94,16.8,"plas_glu",12,NA,10,109.4,20.7,"9_1"
"Baum",2016,9,"9_1","9_1_2","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,1.77,1.3,4.05,21.7,"plas_glu",12,NA,10,109,10.2,"9_1"
"Baum",2016,9,"9_1","9_1_3","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,17.82,0.95,4.965,1.26,7.175,16.8,"plas_glu",12,NA,10,110.1,15,"9_1"
"Baum",2016,9,"9_1","9_1_4","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,4.27,1.3,6.55,21.7,"plas_glu",12,NA,10,105.3,36,"9_1"
"Adechain ",2009,11,"11_1","11_1_1","R","Wistar_rat","M",NA,5,"ad_lib",15.18,41.46,43.35,0.78,1.46,0.945,3.185,20.1,"plas_glu",0,NA,9,12.814,3.606245,"11_1"
"Adechain ",2009,11,"11_1","11_1_2","R","Wistar_rat","M",NA,5,"ad_lib",18.93,71.68,9.39,0.97,1.82,1.18,3.97,16.2,"plas_glu",0,NA,10,12.672,3.816,"11_1"
"Bruckbauer ",2012,15,"15_1","15_1_1","M","C57Bl6_mouse","M",12,6,"ad_lib",20.2,34.7,45,0.94,1.71,1.25,3.9,17.1,"plas_glu",5,NA,7,5.14,2.082066281,"15_1"
"Bruckbauer ",2012,15,"15_1","15_1_2","M","C57Bl6_mouse","M",12,6,"ad_lib",21.7962,34.1,44.1,0.93,3.69,1.24,5.86,17.4,"plas_glu",5,NA,7,5.05,2.253530563,"15_1"
"Caraballo ",2014,16,"16_1","16_1_1","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,81,8,0.52,0.94,0.69,2.15,15.9,"plas_glu",4,NA,12,9.044,2.752798576,"16_1"
"Caraballo ",2014,16,"16_1","16_1_2","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,48,42,0.52,0.94,0.69,2.15,19.3,"plas_glu",4,NA,12,9.924,1.5787134,"16_1"
"Caraballo ",2014,16,"16_1","16_1_3","M","C57Bl6_mouse","F",NA,3,"ad_lib",35,57,8,1.65,3,2.19,6.84,15.9,"plas_glu",4,NA,12,8.841,2.839030821,"16_1"
"Caraballo ",2014,16,"16_1","16_1_4","M","C57Bl6_mouse","F",NA,3,"ad_lib",35,24,42,1.65,3,2.19,6.84,19.3,"plas_glu",4,NA,12,9.518,1.499114405,"16_1"
"Da Silva",2012,20,"20_1","20_1_1","R","Wistar_rat","M",3,12.857143,"ad_lib",5.95,78,16.05,0.28,0.51,0.37,1.16,16.5,"plas_glu",12,NA,12,87.3,10.28153685,"20_1"
"Da Silva",2012,20,"20_1","20_1_2","R","Wistar_rat","M",3,12.857143,"ad_lib",17.27,66.2,16.5,0.82,1.48,1.08,3.38,16.1,"plas_glu",12,NA,15,87.3,9.728309206,"20_1"
"Filiputti ",2010,23,"23_1","23_1_1","R","Wistar_rat","M",3,12,"ad_lib",6.15,77.8,16.02,0.29,0.53,0.38,1.2,16.6,"plas_glu",12,NA,10,7.1,2.1,"23_1"
"Filiputti ",2010,23,"23_1","23_1_2","R","Wistar_rat","M",3,12,"ad_lib",17.79,65.8,16.4,0.84,1.52,1.11,3.47,16.1,"plas_glu",12,NA,10,6.9,0.9,"23_1"
"French",2017,24,"24_1","24_1_1","R","Zucker_Lean_rat","M",12,12,"ad_lib",21.6,65.4,13,1.01,1.82,1.33,4.16,15.9,"plas_glu",8,NA,8,274.837,42.23941968,"24_1"
"French",2017,24,"24_1","24_1_2","R","Zucker_Lean_rat","M",12,12,"ad_lib",42.6,44.3,13.1,2.01,3.65,2.67,8.33,15.9,"plas_glu",8,NA,10,272.028,169.305,"24_1"
"Freudenberg",2012,25,"25_1","25_1_1","M","C57Bl6_mouse","M",10,20,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"plas_glu",2,NA,10,9.24,0.96,"25_1"
"Freudenberg",2012,25,"25_1","25_1_2","M","C57Bl6_mouse","M",10,20,"ad_lib",14.24,42.64,43.1,0.48,6.51,0.5,7.49,17.6,"plas_glu",2,NA,10,8.96,0.81,"25_1"
"Freudenberg",2012,25,"25_1","25_1_3","M","C57Bl6_mouse","M",10,20,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"plas_glu",2,NA,10,8.99,1.5,"25_1"
"Freudenberg",2013,26,"26_1","26_1_1","M","C57Bl6_mouse","M",10,1,"ad_lib",8.9,48.05,43.1,0.48,1.31,0.48,2.27,17.6,"plas_glu",2,NA,7,8.69,1.151260179,"26_1"
"Freudenberg",2013,26,"26_1","26_1_2","M","C57Bl6_mouse","M",10,1,"ad_lib",14.24,42.64,43.1,0.48,6.51,0.5,7.49,17.6,"plas_glu",2,NA,7,8.31,1.126765282,"26_1"
"Freudenberg",2013,26,"26_1","26_1_3","M","C57Bl6_mouse","M",10,1,"ad_lib",44.8,11.9,43.4,2.5,7.04,2.39,11.93,17.6,"plas_glu",2,NA,7,7.7,0.587877538,"26_1"
"Fu",2015,27,"27_1","27_1_1","M","C57Bl6_mouse","M",7,6,"ad_lib",20.2,19.7,60.1,0.94,1.71,1.25,3.9,17.1,"plas_glu",16,NA,10,198.3,22.8,"27_1"
"Fu",2015,27,"27_1","27_1_2","M","C57Bl6_mouse","M",7,6,"ad_lib",21.66,19.33,59,0.93,3.51,1.24,5.68,17.4,"plas_glu",16,NA,10,174.6,57.6,"27_1"
"Liu",2014,35,"35_1","35_1_1","M","C57Bl6_mouse","M",7,21,"ad_lib",20.8,67.58,11.62,0.98,1.77,1.3,4.05,16.4,"plas_glu",12,NA,14,128.438,18.26211721,"35_1"
"Liu",2014,35,"35_1","35_1_2","M","C57Bl6_mouse","M",7,21,"ad_lib",24.9,64.1,11,0.98,6.67,1.3,8.95,17.2,"plas_glu",12,NA,15,134.548,18.70080362,"35_1"
"Liu",2017,36,"36_1","36_1_1","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.68,1.45,0.87,3,20,"plas_glu",12,NA,10,6.539,0.659,"36_1"
"Liu",2017,36,"36_1","36_1_2","R","Sprague_Dawley_rat","M",NA,NA,"ad_lib",17,37.2,45.8,0.94,2.72,1.03,4.69,20,"plas_glu",12,NA,10,6.52,0.56,"36_1"
"Lollo",2012,38,"38_1","38_1_1","R","Wistar_rat","M",NA,4,"ad_lib",19.42,72.58,8,1.02,1.72,1.21,3.95,14.9,"plas_glu",0,NA,6,141.2,14.53444185,"38_1"
"Lollo",2012,38,"38_1","38_1_2","R","Wistar_rat","M",NA,4,"ad_lib",24.56,67.44,8,1.02,6.86,1.21,9.09,14.9,"plas_glu",0,NA,6,151.3,11.85116028,"38_1"
"Lollo",2012,38,"38_1","38_1_3","R","Wistar_rat","M",NA,4,"ad_lib",26.32,65.7,8,1.02,8.62,1.21,10.85,14.9,"plas_glu",0,NA,6,158.8,4.91934955,"38_1"
"Lollo",2012,38,"38_1","38_1_4","R","Wistar_rat","M",NA,4,"ad_lib",22.85,69.15,8,5.15,1.21,7.38,13.74,14.9,"plas_glu",0,NA,6,142,9.167878708,"38_1"
"Lollo",2012,38,"38_2","38_2_1","R","Wistar_rat","M",NA,4,"ad_lib",19.3,72.7,8,1.32,1.92,1.1,4.34,14.9,"plas_glu",0,NA,6,142.3,16.54690303,"38_2"
"Lollo",2012,38,"38_2","38_2_2","R","Wistar_rat","M",NA,4,"ad_lib",22.7,69.3,8,1.32,5.32,1.1,7.74,14.9,"plas_glu",0,NA,6,142.3,14.08722826,"38_2"
"Lollo",2012,38,"38_2","38_2_3","R","Wistar_rat","M",NA,4,"ad_lib",24.42,67.58,8,1.32,7.04,1.1,9.46,14.9,"plas_glu",0,NA,6,144,14.08722826,"38_2"
"Lollo",2012,38,"38_2","38_2_4","R","Wistar_rat","M",NA,4,"ad_lib",26.12,65.88,8,1.32,8.72,1.1,11.14,14.9,"plas_glu",0,NA,6,149.7,17.21772343,"38_2"
"Mastsuzaki",2005,41,"41_1","41_1_1","R","Fischer_rat","M",6,2,"ad_lib",17.8,65.8,16.4,0.84,1.52,1.11,3.47,16.3,"plas_glu",6,NA,6,9.1,0.5,"41_1"
"Mastsuzaki",2005,41,"41_1","41_1_2","R","Fischer_rat","M",6,2,"ad_lib",19.1,64.8,16.1,0.83,3,1.1,4.93,16.3,"plas_glu",6,NA,6,9.6,0.6,"41_1"
"Mastsuzaki",2005,41,"41_1","41_1_3","R","Fischer_rat","M",6,2,"ad_lib",21.9,62.5,15.6,0.8,6.4,1.1,8.3,16.3,"plas_glu",6,NA,6,9.9,0.7,"41_1"
"Mastsuzaki",2005,41,"41_1","41_1_4","R","Fischer_rat","M",6,2,"ad_lib",25.6,59.6,14.8,0.75,10.8,1,12.55,16.3,"plas_glu",6,NA,6,9.9,0.3,"41_1"
"Mastsuzaki",2005,41,"41_1","41_1_5","R","Fischer_rat","M",6,2,"ad_lib",28.9,56.9,14.2,0.72,14.87,0.96,16.55,16.3,"plas_glu",6,NA,6,10.7,0.5,"41_1"
"Mastsuzaki",2005,41,"41_1","41_1_6","R","Fischer_rat","M",6,2,"ad_lib",37.4,50.1,12.5,0.63,25,0.85,26.48,16.3,"plas_glu",6,NA,6,8.8,1.2,"41_1"
"Mu",2018,43,"43_1","43_1_1","M","C57Bl6_mouse","M",16,48,"ad_lib",6.7,83.6,9.7,0.33,0.6,0.44,1.37,15.6,"plas_glu",12,NA,10,141.355,NA,"43_1"
"Mu",2018,43,"43_1","43_1_2","M","C57Bl6_mouse","M",16,48,"ad_lib",13,77.4,9.6,0.61,1.11,0.81,2.53,15.8,"plas_glu",12,NA,10,136.545,NA,"43_1"
"Mu",2018,43,"43_1","43_1_3","M","C57Bl6_mouse","M",16,48,"ad_lib",9.7,80.6,9.7,1.4,2.1,1.5,5,15.6,"plas_glu",12,NA,10,161.322,NA,"43_1"
"Mu",2018,43,"43_1","43_1_4","M","C57Bl6_mouse","M",16,48,"ad_lib",16,74.4,9.6,1.6,2.6,1.9,6.1,15.8,"plas_glu",12,NA,10,154.686,NA,"43_1"
"Nassl",2011,46,"46_1","46_1_1","M","C57Bl6_mouse",NA,NA,0.714286,"ad_lib",23,66,11,1.01,1.91,1.31,4.23,18,"plas_glu",0,NA,10,255.5,32.04,"46_1"
"Nassl",2011,46,"46_1","46_1_2","M","C57Bl6_mouse",NA,NA,0.714286,"ad_lib",48,32,20,2.11,3.98,2.76,8.85,20.3,"plas_glu",0,NA,10,252,3.46,"46_1"
"Noatsch ",2011,47,"47_1","47_1_1","M","C57Bl6_mouse",NA,NA,9,"ad_lib",21.3,67,11.8,1.1289,3.5358,1.065,5.7297,14.3,"plas_glu",19,NA,10,8.2,0.6,"47_1"
"Noatsch ",2011,47,"47_1","47_1_2","M","C57Bl6_mouse",NA,NA,9,"ad_lib",26,62.2,11.8,1.014,10.192,0.9672,12.1732,14.3,"plas_glu",19,NA,10,8.9,0.9,"47_1"
"Noatsch ",2011,47,"47_1","47_1_3","M","C57Bl6_mouse",NA,NA,9,"ad_lib",53.2,35.1,11.8,2.8728,9.7888,2.4472,15.1088,14.3,"plas_glu",19,NA,10,9.3,0.6,"47_1"
