"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Amaral ",2010,1,"1_1","1_1_1","M","Swiss_mouse",NA,3,17.142857,"pair_fed",6,78,16,0.28,0.51,0.38,1.17,16.21,"plas_ins",12,NA,10,0.4,0.1870829,"1_1"
"Amaral ",2010,1,"1_1","1_1_2","M","Swiss_mouse",NA,3,17.142857,"pair_fed",18,66,16,0.85,1.54,1.13,3.52,16.61,"plas_ins",12,NA,10,0.9,0.3367492,"1_1"
"Bajotto ",2011,6,"6_1","6_1_1","R","Sprague_Dawley_rat","M",5,1.428571,"ad_lib",18.31,65.77,15.92,0.86,1.57,1.15,3.58,16.3,"plas_ins",3,NA,6,367,174.4133,"6_1"
"Bajotto ",2011,6,"6_1","6_1_2","R","Sprague_Dawley_rat","M",5,1.428571,"ad_lib",22.36,62.51,15.13,3.85,2,2.51,8.36,17.1,"plas_ins",3,NA,6,230,100.6231,"6_1"
"Bassil ",2007,7,"7_1","7_1_1","R","Sprague_Dawley_rat","M",NA,2,"ad_lib",21.17,56.47,22.35,0.99,1.79,1.31,4.09,17,"plas_ins",12,NA,8,22.08,4.921097,"7_1"
"Bassil ",2007,7,"7_1","7_1_2","R","Sprague_Dawley_rat","M",NA,2,"ad_lib",25.14,53.63,21.22,0.94,6.72,1.25,8.91,17.9,"plas_ins",12,NA,8,18.75,8.836809,"7_1"
"Baum",2016,9,"9_1","9_1_1","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,18.82,0.95,1.73,1.26,3.94,16.8,"plas_ins",12,NA,10,2.21,0.42,"9_1"
"Baum",2016,9,"9_1","9_1_2","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,1.77,1.3,4.05,21.7,"plas_ins",12,NA,10,1.81,0.9,"9_1"
"Baum",2016,9,"9_1","9_1_3","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.763,60.41,18.82,0.95,4.965,1.26,7.175,16.8,"plas_ins",12,NA,10,1.36,0.42,"9_1"
"Baum",2016,9,"9_1","9_1_4","R","Sprague_Dawley_rat","M",NA,42,"meal_fed",23.533,17.047,59.418,0.98,4.27,1.3,6.55,21.7,"plas_ins",12,NA,10,1.84,0.96,"9_1"
"Adechain ",2009,11,"11_1","11_1_1","R","Wistar_rat","M",NA,5,"ad_lib",15.18,41.46,43.35,0.78,1.46,0.945,3.185,20.1,"plas_ins",0,NA,9,12.269,4.748929,"11_1"
"Adechain ",2009,11,"11_1","11_1_2","R","Wistar_rat","M",NA,5,"ad_lib",18.93,71.68,9.39,0.97,1.82,1.18,3.97,16.2,"plas_ins",0,NA,10,14.18,6.099,"11_1"
"Bruckbauer ",2012,15,"15_1","15_1_1","M","C57Bl6_mouse","M",12,6,"ad_lib",20.2,34.7,45,0.94,1.71,1.25,3.9,17.1,"plas_ins",5,NA,7,10.4,3.919183588,"15_1"
"Bruckbauer ",2012,15,"15_1","15_1_2","M","C57Bl6_mouse","M",12,6,"ad_lib",21.7962,34.1,44.1,0.93,3.69,1.24,5.86,17.4,"plas_ins",5,NA,7,5.5,3.42928564,"15_1"
"Caraballo ",2014,16,"16_1","16_1_1","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,81,8,0.52,0.94,0.69,2.15,15.9,"plas_ins",0,NA,12,127.1,86.89556951,"16_1"
"Caraballo ",2014,16,"16_1","16_1_2","M","C57Bl6_mouse","F",NA,3,"ad_lib",11,48,42,0.52,0.94,0.69,2.15,19.3,"plas_ins",0,NA,12,65.9,29.84962311,"16_1"
